index,localhour,use,humidity,celsius
226151,2018-01-14 02:00:00,0.475,0.33,21.761111111111113
226152,2018-01-14 03:00:00,2.101,0.35,20.611111111111107
226153,2018-01-14 04:00:00,1.022,0.3,20.361111111111114
226154,2018-01-14 05:00:00,0.45299999999999996,0.3,19.6
226155,2018-01-14 06:00:00,0.33299999999999996,0.31,18.783333333333335
226156,2018-01-14 07:00:00,0.295,0.35,17.59444444444445
226157,2018-01-14 08:00:00,0.21600000000000003,0.35,17.394444444444446
226158,2018-01-14 09:00:00,0.21100000000000002,0.38,16.566666666666666
226159,2018-01-14 10:00:00,0.215,0.37,16.34444444444445
226160,2018-01-14 11:00:00,0.21899999999999997,0.41,15.272222222222224
226161,2018-01-14 12:00:00,0.185,0.39,15.383333333333333
226162,2018-01-14 13:00:00,0.18,0.37,15.738888888888887
226163,2018-01-14 14:00:00,0.218,0.38,15.694444444444445
226164,2018-01-14 15:00:00,0.57,0.44,14.461111111111112
226165,2018-01-14 16:00:00,0.46799999999999997,0.39,15.950000000000001
226166,2018-01-14 17:00:00,0.257,0.36,17.944444444444443
226167,2018-01-14 18:00:00,0.18899999999999997,0.27,22.022222222222222
226168,2018-01-14 19:00:00,0.185,0.22,24.638888888888886
226169,2018-01-14 20:00:00,0.201,0.21,24.727777777777778
226170,2018-01-14 21:00:00,0.513,0.2,25.611111111111107
226171,2018-01-14 22:00:00,0.43700000000000006,0.2,25.18888888888889
226172,2018-01-14 23:00:00,0.509,0.24,23.516666666666666
226173,2018-01-15 00:00:00,0.5920000000000001,0.29,21.916666666666668
226174,2018-01-15 01:00:00,0.919,0.4,19.93333333333333
226175,2018-01-15 02:00:00,0.361,0.5,17.983333333333334
226176,2018-01-15 03:00:00,0.24,0.56,16.65
226177,2018-01-15 04:00:00,0.664,0.55,16.08888888888889
226178,2018-01-15 05:00:00,0.563,0.52,16.038888888888888
226179,2018-01-15 06:00:00,0.348,0.51,15.58888888888889
226180,2018-01-15 07:00:00,0.201,0.53,14.849999999999998
226181,2018-01-15 08:00:00,0.20800000000000002,0.56,13.755555555555553
226182,2018-01-15 09:00:00,0.207,0.57,13.261111111111111
226183,2018-01-15 10:00:00,0.191,0.57,12.766666666666664
226184,2018-01-15 11:00:00,0.18600000000000003,0.55,12.611111111111112
226185,2018-01-15 12:00:00,0.20600000000000002,0.55,12.3
226186,2018-01-15 13:00:00,0.204,0.55,12.100000000000001
226187,2018-01-15 14:00:00,0.252,0.54,11.994444444444447
226188,2018-01-15 15:00:00,0.527,0.54,11.88888888888889
226189,2018-01-15 16:00:00,0.195,0.53,12.916666666666666
226190,2018-01-15 17:00:00,0.299,0.43,16.333333333333332
226191,2018-01-15 18:00:00,0.292,0.36,19.233333333333334
226192,2018-01-15 19:00:00,0.25,0.31,20.98888888888889
226193,2018-01-15 20:00:00,0.19399999999999998,0.35,21.255555555555556
226194,2018-01-15 21:00:00,1.14,0.42,21.3
226195,2018-01-15 22:00:00,1.86,0.44,21.194444444444446
